scholarship_id,title,field,eligibility,description,deadline,funding_type,eligible_countries
S0001,Arts Excellence Scholarship 1,Computer Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Medicine students focusing on Legal Studies. Full tuition coverage available.,2026-07-24,Full,"Brazil, Germany, Canada"
S0002,Law Excellence Scholarship 2,Data Science,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Education students focusing on Data Analysis. Partial funding available.,2026-10-11,Full,"Australia, South Africa, UAE"
S0003,Computer Science Excellence Scholarship 3,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Engineering students focusing on Legal Studies. Full tuition coverage available.,2026-02-11,Research Grant,"UAE, Brazil, Germany"
S0004,Arts Excellence Scholarship 4,Education,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Data Science students focusing on Data Analysis. Full tuition coverage available.,2026-03-05,Partial,"USA, Australia, Germany"
S0005,Computer Science Excellence Scholarship 5,Business,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Education students focusing on AI. Full tuition coverage available.,2026-10-30,Full,"Australia, Canada, South Africa"
S0006,Business Excellence Scholarship 6,Arts,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Law students focusing on Environmental Conservation. Partial funding available.,2025-12-25,Full,"South Africa, UK, UAE"
S0007,Computer Science Excellence Scholarship 7,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Medicine students focusing on Legal Studies. Partial funding available.,2026-03-22,Partial,"Australia, UK, Brazil"
S0008,Engineering Excellence Scholarship 8,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Education students focusing on Web Development. Partial funding available.,2026-09-20,Partial,"India, Brazil, Canada"
S0009,Environmental Science Excellence Scholarship 9,Computer Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Education students focusing on Creative Arts. Partial funding available.,2026-01-15,Research Grant,"UK, Japan, South Africa"
S0010,Engineering Excellence Scholarship 10,Business,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Computer Science students focusing on Machine Learning. Full tuition coverage available.,2026-03-16,Partial,"Germany, Japan, South Africa"
S0011,Law Excellence Scholarship 11,Law,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Computer Science students focusing on Business Management. Full tuition coverage available.,2026-02-17,Research Grant,"USA, Brazil, South Africa"
S0012,Medicine Excellence Scholarship 12,Computer Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Law students focusing on Data Analysis. Full tuition coverage available.,2026-05-24,Partial,"UK, UAE, South Africa"
S0013,Law Excellence Scholarship 13,Medicine,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Data Science students focusing on Legal Studies. Research grant available.,2026-08-31,Partial,"Canada, Japan, Germany"
S0014,Arts Excellence Scholarship 14,Arts,"Minimum GPA 3.0, Domestic students only",Comprehensive scholarship for Business students focusing on Data Analysis. Research grant available.,2026-10-21,Full,"Canada, UK, UAE"
S0015,Computer Science Excellence Scholarship 15,Environmental Science,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Medicine students focusing on Medical Research. Partial funding available.,2026-06-11,Research Grant,"UK, Japan, South Africa"
S0016,Computer Science Excellence Scholarship 16,Computer Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Engineering students focusing on Data Analysis. Research grant available.,2026-09-14,Partial,"USA, Australia, UAE"
S0017,Engineering Excellence Scholarship 17,Education,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Data Science students focusing on AI. Research grant available.,2025-12-24,Partial,"India, Australia, UAE"
S0018,Arts Excellence Scholarship 18,Engineering,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Business students focusing on Education Technology. Full tuition coverage available.,2025-12-22,Research Grant,"USA, UK, Japan"
S0019,Arts Excellence Scholarship 19,Engineering,"Minimum GPA 3.2, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Web Development. Research grant available.,2026-09-10,Partial,"Australia, Brazil, Canada"
S0020,Engineering Excellence Scholarship 20,Business,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Medicine students focusing on Education Technology. Research grant available.,2026-11-06,Full,"Canada, India, Germany"
S0021,Data Science Excellence Scholarship 21,Engineering,"Minimum GPA 3.5, Domestic students only",Comprehensive scholarship for Engineering students focusing on Education Technology. Full tuition coverage available.,2026-05-24,Partial,"Canada, UK, South Africa"
S0022,Education Excellence Scholarship 22,Arts,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Data Science students focusing on AI. Partial funding available.,2026-01-09,Full,"Japan, India, UAE"
S0023,Computer Science Excellence Scholarship 23,Data Science,"Minimum GPA 3.5, International students welcome",Comprehensive scholarship for Arts students focusing on Web Development. Partial funding available.,2026-05-01,Research Grant,"Brazil, South Africa, Japan"
S0024,Data Science Excellence Scholarship 24,Medicine,"Minimum GPA 3.2, Domestic students only",Comprehensive scholarship for Education students focusing on Medical Research. Research grant available.,2026-08-01,Full,"Germany, India, Brazil"
S0025,Business Excellence Scholarship 25,Law,"Minimum GPA 3.0, International students welcome",Comprehensive scholarship for Environmental Science students focusing on Medical Research. Full tuition coverage available.,2026-07-31,Full,"Canada, Germany, Australia"
